"household_id","ea_id","dist_road","dist_market","dist_border","dist_popcenter","dist_admhq","ssa_aez09","twi","sq1","sq2","sq3","sq4","sq5","sq6","sq7","af_bio_1","af_bio_8","af_bio_12","af_bio_13","af_bio_16","slopepct","srtm1k","popdensity","cropshare","h2018_tot","h2018_wetQstart","h2018_wetQ","h2019_tot","h2019_wetQstart","h2019_wetQ","anntot_avg","wetQ_avgstart","wetQ_avg","h2018_ndvi_avg","h2018_ndvi_max","h2019_ndvi_avg","h2019_ndvi_max","ndvi_avg","ndvi_max","lat_mod","lon_mod"
"010101088800910007","010101088800910",8.10000038146973,129,127.099998474121,15.8000001907349,0.200000002980232,312,11,1,1,1,1,1,1,1,266,259,696,217,522,8,1015,10,19,1265,26,1071,1384,25,919,1027,26,825,0.145999997854233,0.294999986886978,0.0939999967813492,0.194000005722046,0.229000002145767,0.444999992847443,14.2583084106445,37.8096542358398
"010101088800910017","010101088800910",8.10000038146973,129,127.099998474121,15.8000001907349,0.200000002980232,312,11,1,1,1,1,1,1,1,266,259,696,217,522,8,1015,10,19,1265,26,1071,1384,25,919,1027,26,825,0.145999997854233,0.294999986886978,0.0939999967813492,0.194000005722046,0.229000002145767,0.444999992847443,14.2583084106445,37.8096542358398
"010101088800910026","010101088800910",8.10000038146973,129,127.099998474121,15.8000001907349,0.200000002980232,312,11,1,1,1,1,1,1,1,266,259,696,217,522,8,1015,10,19,1265,26,1071,1384,25,919,1027,26,825,0.145999997854233,0.294999986886978,0.0939999967813492,0.194000005722046,0.229000002145767,0.444999992847443,14.2583084106445,37.8096542358398
"010101088800910029","010101088800910",8.10000038146973,129,127.099998474121,15.8000001907349,0.200000002980232,312,11,1,1,1,1,1,1,1,266,259,696,217,522,8,1015,10,19,1265,26,1071,1384,25,919,1027,26,825,0.145999997854233,0.294999986886978,0.0939999967813492,0.194000005722046,0.229000002145767,0.444999992847443,14.2583084106445,37.8096542358398
"010101088800910038","010101088800910",8.10000038146973,129,127.099998474121,15.8000001907349,0.200000002980232,312,11,1,1,1,1,1,1,1,266,259,696,217,522,8,1015,10,19,1265,26,1071,1384,25,919,1027,26,825,0.145999997854233,0.294999986886978,0.0939999967813492,0.194000005722046,0.229000002145767,0.444999992847443,14.2583084106445,37.8096542358398
"010101088800910046","010101088800910",8.10000038146973,129,127.099998474121,15.8000001907349,0.200000002980232,312,11,1,1,1,1,1,1,1,266,259,696,217,522,8,1015,10,19,1265,26,1071,1384,25,919,1027,26,825,0.145999997854233,0.294999986886978,0.0939999967813492,0.194000005722046,0.229000002145767,0.444999992847443,14.2583084106445,37.8096542358398
"010101088800910054","010101088800910",8.10000038146973,129,127.099998474121,15.8000001907349,0.200000002980232,312,11,1,1,1,1,1,1,1,266,259,696,217,522,8,1015,10,19,1265,26,1071,1384,25,919,1027,26,825,0.145999997854233,0.294999986886978,0.0939999967813492,0.194000005722046,0.229000002145767,0.444999992847443,14.2583084106445,37.8096542358398
"010101088800910062","010101088800910",8.10000038146973,129,127.099998474121,15.8000001907349,0.200000002980232,312,11,1,1,1,1,1,1,1,266,259,696,217,522,8,1015,10,19,1265,26,1071,1384,25,919,1027,26,825,0.145999997854233,0.294999986886978,0.0939999967813492,0.194000005722046,0.229000002145767,0.444999992847443,14.2583084106445,37.8096542358398
"010101088800910070","010101088800910",8.10000038146973,129,127.099998474121,15.8000001907349,0.200000002980232,312,11,1,1,1,1,1,1,1,266,259,696,217,522,8,1015,10,19,1265,26,1071,1384,25,919,1027,26,825,0.145999997854233,0.294999986886978,0.0939999967813492,0.194000005722046,0.229000002145767,0.444999992847443,14.2583084106445,37.8096542358398
"010101088800910082","010101088800910",8.10000038146973,129,127.099998474121,15.8000001907349,0.200000002980232,312,11,1,1,1,1,1,1,1,266,259,696,217,522,8,1015,10,19,1265,26,1071,1384,25,919,1027,26,825,0.145999997854233,0.294999986886978,0.0939999967813492,0.194000005722046,0.229000002145767,0.444999992847443,14.2583084106445,37.8096542358398
"010101088800910083","010101088800910",8.10000038146973,129,127.099998474121,15.8000001907349,0.200000002980232,312,11,1,1,1,1,1,1,1,266,259,696,217,522,8,1015,10,19,1265,26,1071,1384,25,919,1027,26,825,0.145999997854233,0.294999986886978,0.0939999967813492,0.194000005722046,0.229000002145767,0.444999992847443,14.2583084106445,37.8096542358398
"010101088800910093","010101088800910",8.10000038146973,129,127.099998474121,15.8000001907349,0.200000002980232,312,11,1,1,1,1,1,1,1,266,259,696,217,522,8,1015,10,19,1265,26,1071,1384,25,919,1027,26,825,0.145999997854233,0.294999986886978,0.0939999967813492,0.194000005722046,0.229000002145767,0.444999992847443,14.2583084106445,37.8096542358398
"010102088801010012","010102088801010",2.29999995231628,141.699996948242,164.800003051758,33.4000015258789,0.200000002980232,322,14,1,1,3,1,1,1,3,226,219,826,266,628,11,1741,240,42,1052,26,887,1169,28,786,899,26,723,0.128999993205071,0.29899999499321,0.090999998152256,0.199000000953674,0.195999994874001,0.35699999332428,14.3759126663208,38.1548881530762
